,comments,sentiment
0,then I turn on the light and the radio and enjoy my Da Vinci Code.,1
1,then I turn on the light and the radio and enjoy my Da Vinci Code.i love da vinci code...,1
2,i love da vinci code...,1
3,i love da vinci code...,1
4,TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...,1
5,THE DA VINCI CODE is AN AWESOME BOOK....,1
6,"Thing is, I enjoyed The Da Vinci Code",1
7,very da vinci code slash amazing race.,1
8,Hey I loved The Da Vinci Code!..,1
9,also loved the da vinci code..,1
10,I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;,1
11,I do like Angels and Demons more then The Da Vinci Code.,1
12,The Da Vinci Code was a really good movie,1
13,"yeah, da vinci code is an awesome movie i liked it pretty interesting.",1
14,I really like The Da Vinci Code.,1
15,Da Vinci Code is amazing.,1
16,The Da Vinci Code was awesome...,1
17,"The Da Vinci Code's backtory on various religious historical figures and such were interesting at times, but I'm more of scifi girl at heart.",1
18,Book ( s ): I love The Da Vinci Code..,1
19,"And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband.",1
20,I love the da vinci code...,1
21,Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore...,1
22,I just read Da Vinci Code ( which was AWESOME by the way )  .,1
23,I just read Da Vinci Code ( which was AWESOME by the way )  .,1
24,I loved the Da Vinci Code!,1
25,I love reading The Da Vinci Code!!!!,1
26,"I'm telling you, the Da Vinci Code is an AWESOME book!",1
27,"Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. ).",1
28,"And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment seeing how the other side reads.",1
29,I love the Da Vinci Code.,1
30,Da Vinci code is awesome!,1
31,The Da Vinci Code is awesome.,1
32,The Da Vinci Code is SUCH an awesome book!,1
33,I LOVE THE DA VINCI CODE...,1
34,I loved The Da Vinci Code.,1
35,oh so beautiful Da Vinci Code...,1
36,i loved the da vinci code.,1
37,The Da Vinci Code is an awesome book.,1
38,Da vinci code is an awesome book.,1
39,I miss ripping acoustic music and the Da Vinci Code...,1
40,"Personally, I neither hate nor love the Da Vinci Code.",1
41,looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.,1
42,"Da Vinci Code is of course a awesome book, but you will figure that out on page 286.",1
43,I love The Da Vinci Code!,1
44,i LOVED the Da Vinci Code.,1
45,"But seriously, the Da Vinci Code is an awesome book.",1
46,da vinci code is awesome.,1
47,I love The Da Vinci Code.,1
48,The Da Vinci Code was fucking awesome!..,1
49,The Da Vinci Code was awesome.,1
50,"Da Vinci Code was awesome, and sounds more probable to me than half the crap Fr.",1
51,I loved the Da Vinci Code and the like.,1
52,Da Vinci Code-that was awesome!..,1
53,"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd...",1
54,The Da Vinci Code is an awesome book.,1
55,Yeah the Da Vinci code is awesome....,1
56, The Da Vinci Code is awesome though.,1
57,i LOVE the da vinci code!,1
58,The Da Vinci Code is an awesome book!!!,1
59,"Aarons mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside.",1
60,da vinci code is awesome!,1
61,I loved the da vinci code...,1
62,the Da Vinci Code is awesome..,1
63,I'd love to go see Da Vinci Code but probably not next week.,1
64,The Da Vinci Code was awesome.,1
65,"im sick of books right now, but i must say, da vinci code was awesome..",1
66,"finished reading the da vinci code, which is an awesome book.",1
67,that and the da vinci code is awesome so far.,1
68,I LOVE THE DA VINCI CODE!!!!... < < < < < 3333...,1
69,And Da Vinci Code is awesome.,1
70,The Da Vinci Code is awesome...,1
71,Oh oh oh and I loved The Da Vinci Code!,1
72,I love the Da Vinci code...,1
73,The Da Vinci Code is awesome.,1
74,and I love Da Vinci Code-illustrated edition is the only way to go!:)..,1
75,"I loved the Da Vinci code, and I can't wait for the movie.",1
76,i loved da vinci code recently......,1
77,Love the Da Vinci Code!(,1
78,to their right ALSO read and LOVED the Da Vinci code.,1
79,I * LOVED * Da Vinci code.I * LOVED * Da Vinci code.,1
80,and i love reading da vinci code.....,1
81,and i love Da Vinci Code too..,1
82,and i love Da Vinci Code too..,1
83,Da Vinci Code looks SO awesome...,1
84,I finished The Da Vinci Code that was an awesome book!,1
85,"The Da Vinci Code was pretty awesome, but I liked Angels and Demons...",1
86,"I loved reading Da Vinci Code, can't wait for the movie to come out!..",1
87,I love the Da Vinci Code.,1
88,The Da Vinci Code really is an awesome book and you should all go get it.,1
89, totally love the Da Vinci Code and i CA N'T wait until the movie!,1
90,"Personally I loved The Da Vinci Code, its a great thriller.",1
91,I love the Da Vinci Code.....,1
92,and the da vinci code is an awesome book!,1
93,da vinci code is an awesome book..,1
94,The Da Vinci Code is AWESOME!.I loved the da vinci code.,1
95,I loved the da Vinci Code-very interesting to think about things from a different angle.,1
96,Da Vinci Code is a friggin awesome book.,1
97,"And the Da Vinci code is AMAZING, 30 pages left to go.",1
98,outta all three i just loved the da vinci code.,1
99,oh I love the book The Da VInci Code!da vinci code was a terrible movie.,1
100,"Then again, the Da Vinci code is super shitty movie, and it made like 700 million.",0
101,"The Da Vinci Code comes out tomorrow, which sucks.",0
102,i thought the da vinci code movie was really boring.,0
103,"God, Yahoo Games has this truly-awful looking Da Vinci Code-themed skin on it's chessboard right now.",0
104,Da Vinci Code does suck.,0
105,And better...-We all know Da Vinci code is bogus and inaccurate.,0
106,"Last time, Da Vinci code is also a bit disappointing to me, because many things written in the book is never mentioned in movie.",0
107,And better...-We all know Da Vinci code is bogus and inaccurate.,0
108,And better..-We all know Da Vinci code is bogus and inaccurate.,0
109,And better..-We all know Da Vinci code is bogus and inaccurate.,0
110,If Jesus is fabricated a la the Da Vinci Code then Christianity is worthless...,0
111,I think this bolsters my arguments that both England and the Da Vinci Code sucks...,0
112,And better..-We all know Da Vinci code is bogus and inaccurate.,0
113,I really hate The Da Vinci Code.,0
114,"The more you say The Da Vinci Code is evil, the more people will read it.",0
115,da vinci code sucked too long and too slow.....,0
116,"Da Vinci Code sucked, as expected.",0
117,not sure if i already threw this at you but I hate the Da Vinci Code.,0
118,This is why I hate the Da Vinci Code: because it takes nothing but a fucking pop culture phenomenon to get people to question things.,0
119,Da Vinci Code really did suck and congrats on beating Jay it must of been like that time at Rickards when we beat them in the finals,0
120,The Da Vinci Code sucks.,0
121,"and also, The Da Vinci Code is poorly written and boring..",0
122,I hated The Da Vinci Code.,0
123,"I hate the Da Vinci Code, but I may see the movie for Audrey Tautou...I know Da Vinci Code is going to suckI know Da Vinci Code is going to suck.",0
124,I know Da Vinci Code is going to suck.,0
125,The Da Vinci Code sucks..,0
126,I also think The Da Vinci Code sucked balls and it's the worst piece of shit I've ever read.,0
127,RACHEL you could of told me your nans a libarian before i said i hated'The da vinci code '!!,0
128,The Da Vinci code sucks and is also a page turner...,0
129,"then was the da vinci code, which sucked really bad.",0
130,"but whatever it is,. i really hate the da vinci code..",0
131,I hated The Da Vinci Code.,0
132,I hated The Da Vinci Code.,0
133,the da vinci code sucks btw..,0
134,I hate the Da Vinci Code..,0
135,i fucking hated the da vinci code.,0
136,Had an interesting conversation with one of the professors I work for about how Da Vinci Code sucks...,0
137,ERM da vinci code and it sucked...,0
138,I overslept though so jenn and i didn't get to see the da vinci code which sucked and now i have no money so yeah maybe later.,0
139,DA VINCI CODE-SUCKED BALLZ.,0
140,Da Vinci Code SUCKED ASS!!!,0
141,how much the da vinci code sucks...,0
142,"Went to see The Da Vinci Code, which sucked even worse than the book...",0
143,Da Vinci Code apparently sucks even more ass on film.,0
144,who else thought the da vinci code kinda sucked...,0
145,I think i started to hate Da Vinci Code just because it has gathered the lamest people in cinema.,0
146,the da vinci code sucked.,0
147,"oh, and i hated  the novel....",0
148,Da Vinci Code sucked.,0
149,"in other news, the da vinci code sucks a lama's balls.....",0
150,"Still haven't seen the Da Vinci Code, which kinda sucks..",0
151,The Da Vinci Code sucked.,0
152,BECAUSE DA VINCI CODE SUCKED!!,0
153,3 Though I heard Da Vinci Code sucked.,0
154,"I officially hate the Da Vinci Code, the end.",0
155,ya da vinci code really sucked....,0
156,I heard The da Vinci Code sucked.,0
157,"We saw Da Vinci Code, which sucked.",0
158,"we saw the da vinci code, which kinda sucked in an okay way.",0
159,the da vinci code sucked!,0
160,I hated Da Vinci Code..,0
161,"The Da Vinci Code sucks, BTW!",0
162,I hate the Da Vinci Code.,0
163,"I did not get to see Da Vinci Code which sucked a little bit, but hopefully that may happen during the coming week sometime..",0
164,"They were holding signs saying I love Jesus Christ, but I hate the Da Vinci Code.",0
165,"Because of this project, I fucking hate the Da Vinci Code.",0
166,THE DA VINCI CODE SUCKS.,0
167,"i hated the da vinci code, the movie witha passion",0
168,The Da Vinci Code sucked.,0
169,the Da Vinci Code sucks.,0
170,I hated The Da Vinci Code...,0
171,Da Vinci Code sucks,0
172,did i mention the da vinci code sucked big donkey balls?..,0
173,the da vinci code sucked big donkey balls...,0
174,The Da Vinci Code [ movie ] sucked!..,0
175,"to see the da vinci code, which totally sucked balls.",0
176,The Da Vinci Code's supposed to suck..,0
177,da vinci code sucks.,0
178,I'll let y'all know if The Da Vinci Code sucks or not...,0
179,"Critics are saying that The Da Vinci Code, due in theaters this weekend, stinks.",0
180,"Now, I am the first person to say that The Da Vinci Code sucks, but hello, it â€™ s a novel!",0
181,I really hate the Da Vinci Code..,0
182,I really hate the Da Vinci Code...,0
183,"It's been on a couple of times already, but cos I think the da Vinci Code sucks I never took the effort of watching it.(",0
184,The Da vinci Code is so SUCK!!!!!!!,0
185,The Da Vinci Code sucked big time.,0
186,mang i could of told you the da vinci code suck!,0
187, Man i hated the Da Vinci Code.,0
188,"After school, I went with Latin Club to see the Da Vinci code, which sucked...",0
189,the da vinci code sucks majorly....,0
190,da vinci code = sucks major ass...,0
191,I hate The Da Vinci Code.,0
192,Da Vinci Code kinda sucks second time around..,0
193,"Da Vinci Code sucked, but talking through it definately didnt suck.",0
194,and da vinci code sucks!..,0
195,i heard that the da vinci code sucks especially compared to the book.,0
196,The Da Vinci Code sucks.,0
197,"anyhow, the da vinci code sucks lah.",0
198,The Da Vinci Code sucked.,0
199,"Rofls, but yeah I hated the Da Vinci Code.",0
200,"I heard Da Vinci Code sucked pretty hard, which is too bad, because I like Ron Howard.",0
201,i use google for my music urls and the da vinci code sucked!,0
202,da vinci code the movie sucked.,0
203,im kinda sad that da vinci code sucked(,0
204,Does The Da Vinci Code suck?...,0
205,"There will be a lot of fun songs, one will be a sing along about how much the Da Vinci Code SUCKS(",0
206,I've seen X-Men three times and the Da Vinci Code royally sucked...,0
207,da vinci code sucks ass.,0
208,The Da Vinci Code sucked like a Hoover.,0
209,"And by the way, Da Vinci Code movie sucks ass..",0
210,da vinci code sucked da vinci code sucks da vinci code sucks!.,0
211,da vinci code will suck!,0
212,"da vinci code sucked, IMO.",0
213,I wasn't even in the mood to shop yesterday and also Da Vinci Code sucked ASS.,0
214,Da Vinci Code sucked but the story and ideas were very interesting...,0
215,"Also, Da Vinci Code is SUCK!!!!!!!!",0
216,"Well, I'm not gonna lie, The Da Vinci Code SUCKED!",0
217,DA VINCI CODE SUCKS ASS.,0
218,Da Vinci code sucks ass as a movie.,0
219,The Da Vinci Code sucked ass!!!!,0
220,Brokeback mountain was beautiful...,1
221,"Anyway, thats why I love Brokeback Mountain.",1
222,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
223,dudeee i LOVED brokeback mountain!!!!,1
224,man i loved brokeback mountain!,1
225,Brokeback Mountain was an AWESOME movie.,1
226,Brokeback Mountain was so awesome.,1
227,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
228,I love Brokeback Mountain....,1
229,I love Brokeback Mountain.,1
230,Brokeback mountain was beautiful...,1
231,"Anyway, thats why I love Brokeback Mountain.",1
232,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
233,dudeee i LOVED brokeback mountain!!!!,1
234,man i loved brokeback mountain!,1
235,Brokeback Mountain was an AWESOME movie.,1
236,Brokeback Mountain was so awesome.,1
237,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
238,I love Brokeback Mountain....,1
239,I love Brokeback Mountain.,1
240,Brokeback mountain was beautiful...,1
241,"Anyway, thats why I love Brokeback Mountain.",1
242,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
243,dudeee i LOVED brokeback mountain!!!!,1
244,man i loved brokeback mountain!,1
245,Brokeback Mountain was an AWESOME movie.,1
246,Brokeback Mountain was so awesome.,1
247,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
248,I love Brokeback Mountain....,1
249,I love Brokeback Mountain.,1
250,Brokeback mountain was beautiful...,1
251,"Anyway, thats why I love Brokeback Mountain.",1
252,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
253,dudeee i LOVED brokeback mountain!!!!,1
254,man i loved brokeback mountain!,1
255,Brokeback Mountain was an AWESOME movie.,1
256,Brokeback Mountain was so awesome.,1
257,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
258,I love Brokeback Mountain....,1
259,I love Brokeback Mountain.,1
260,Brokeback mountain was beautiful...,1
261,"Anyway, thats why I love Brokeback Mountain.",1
262,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
263,dudeee i LOVED brokeback mountain!!!!,1
264,man i loved brokeback mountain!,1
265,Brokeback Mountain was an AWESOME movie.,1
266,Brokeback Mountain was so awesome.,1
267,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
268,I love Brokeback Mountain....,1
269,I love Brokeback Mountain.,1
270,Brokeback mountain was beautiful...,1
271,"Anyway, thats why I love Brokeback Mountain.",1
272,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
273,dudeee i LOVED brokeback mountain!!!!,1
274,man i loved brokeback mountain!,1
275,Brokeback Mountain was an AWESOME movie.,1
276,Brokeback Mountain was so awesome.,1
277,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
278,I love Brokeback Mountain....,1
279,I love Brokeback Mountain.,1
280,Brokeback mountain was beautiful...,1
281,"Anyway, thats why I love Brokeback Mountain.",1
282,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
283,dudeee i LOVED brokeback mountain!!!!,1
284,man i loved brokeback mountain!,1
285,Brokeback Mountain was an AWESOME movie.,1
286,Brokeback Mountain was so awesome.,1
287,Brokeback Mountain was so awesome.,1
288,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
289,I love Brokeback Mountain....,1
290,I love Brokeback Mountain.,1
291,Brokeback mountain was beautiful...,1
292,"Anyway, thats why I love Brokeback Mountain.",1
293,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
294,dudeee i LOVED brokeback mountain!!!!,1
295,man i loved brokeback mountain!,1
296,Brokeback Mountain was an AWESOME movie.,1
297,Brokeback Mountain was so awesome.,1
298,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
299,I love Brokeback Mountain....,1
300,I love Brokeback Mountain.,1
301,Brokeback mountain was beautiful...,1
302,"Anyway, thats why I love Brokeback Mountain.",1
303,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
304,dudeee i LOVED brokeback mountain!!!!,1
305,man i loved brokeback mountain!,1
306,Brokeback Mountain was an AWESOME movie.,1
307,Brokeback Mountain was so awesome.,1
308,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
309,I love Brokeback Mountain....,1
310,I love Brokeback Mountain.,1
311,Brokeback mountain was beautiful...,1
312,"Anyway, thats why I love Brokeback Mountain.",1
313,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
314,dudeee i LOVED brokeback mountain!!!!,1
315,man i loved brokeback mountain!,1
316,Brokeback Mountain was an AWESOME movie.,1
317,Brokeback Mountain was so awesome.,1
318,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
319,I love Brokeback Mountain....,1
320,I love Brokeback Mountain.,1
321,Brokeback mountain was beautiful...,1
322,"Anyway, thats why I love Brokeback Mountain.",1
323,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
324,dudeee i LOVED brokeback mountain!!!!,1
325,man i loved brokeback mountain!,1
326,"Anyway, thats why I love ' Brokeback Mountain.",1
327,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
328,dudeee i LOVED brokeback mountain!!!!,1
329,"Anyway, thats why I love 'Brokeback Mountain.",1
330,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
331,Brokeback Mountain is packed with beautiful sceneries and such.,1
332,I love Brokeback Mountain and I'm so dissapointed and surprised that it did not win the best picture and best actor..,1
333,"I loved Brokeback Mountain, though I think you're right about its being acceptable in mainstream culture because it doesn't challenge that culture's heteronormativity.",1
334,"Don't get me wrong, I love brokeback mountain, but I think it has more to do that only white people can talk about racism and wins an oscar.",1
335,Brokeback Mountain is beautiful(,1
336,Brokeback Mountain is bound to be awesome...,1
337,I think I may just be bitter because I absolutely loved Brokeback Mountain and when you say you liked some other movie(,1
338,"Brokeback Mountain-This movie is beautiful start to finish.Well, Brokeback Mountain was pretty awesome too, but this movie......",1
339,Beautiful random thoughts on Brokeback Mountain,1
340,"Oh, and Brokeback Mountain was a terrible movie.",0
341,Ok brokeback mountain is such a horrible movie.,0
342,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
343,So Brokeback Mountain was really depressing.,0
344,Brokeback Mountain was boring.,0
345,"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
346,My dad's being stupid about brokeback mountain...,0
347,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
348,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
349,Brokeback Mountain is fucking horrible..,0
350,"Oh, and Brokeback Mountain was a terrible movie.",0
351,Ok brokeback mountain is such a horrible movie.,0
352,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
353,So Brokeback Mountain was really depressing.,0
354,Brokeback Mountain was boring.,0
355,"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
356,My dad's being stupid about brokeback mountain...,0
357,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
358,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
359,Brokeback Mountain is fucking horrible..,0
360,"Oh, and Brokeback Mountain was a terrible movie.",0
361,Ok brokeback mountain is such a horrible movie.,0
362,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
363,So Brokeback Mountain was really depressing.,0
364,Brokeback Mountain was boring.,0
365,"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
366,My dad's being stupid about brokeback mountain...,0
367,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
368,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
369,Brokeback Mountain is fucking horrible..,0
370,"Oh, and Brokeback Mountain was a terrible movie.",0
371,Ok brokeback mountain is such a horrible movie.,0
372,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
373,So Brokeback Mountain was really depressing.,0
374,Brokeback Mountain was boring.,0
375,"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
376,My dad's being stupid about brokeback mountain...,0
377,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
378,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
379,Brokeback Mountain is fucking horrible..,0
380,"Oh, and Brokeback Mountain was a terrible movie.",0
381,Ok brokeback mountain is such a horrible movie.,0
382,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
383,So Brokeback Mountain was really depressing.,0
384,Brokeback Mountain was boring.,0
385,"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
386,My dad's being stupid about brokeback mountain...,0
387,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
388,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
389,Brokeback Mountain is fucking horrible..,0
390,"Oh, and Brokeback Mountain was a terrible movie.",0
391,Ok brokeback mountain is such a horrible movie.,0
392,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
393,So Brokeback Mountain was really depressing.,0
394,Brokeback Mountain was boring.,0
395,"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
396,My dad's being stupid about brokeback mountain...,0
397,My dad's being stupid about brokeback mountain...,0
398,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
399,Brokeback Mountain is fucking horrible..,0
400,"Oh, and Brokeback Mountain was a terrible movie.",0
401,Ok brokeback mountain is such a horrible movie.,0
402,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
403,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
404,So Brokeback Mountain was really depressing.,0
405,Brokeback Mountain was boring.,0
406,"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
407,My dad's being stupid about brokeback mountain...,0
408,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
409,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
410,Ok brokeback mountain is such a horrible movie.,0
411,Brokeback Mountain was boring.,0
412,Brokeback Mountain is fucking horrible..,0
413,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
414,My dad's being stupid about brokeback mountain...,0
415,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
416,So Brokeback Mountain was really depressing.,0
417,"Oh, and Brokeback Mountain is a TERRIBLE movie...y dad's being stupid about brokeback mountain...",0
418,My dad's being stupid about brokeback mountain...,0
419,So Brokeback Mountain was really depressing.,0
